"Pred","Obs","x","y","Type","ClimateCode"
667.29345703125,1208,152.5896,-27.5804,"Nick's data",2
482.879852294922,945,152.5896,-27.5804,"Nick's data",2
770.442016601562,1392,152.5896,-27.5804,"Nick's data",2
694.935424804688,1544,152.5896,-27.5804,"Nick's data",2
350.848419189453,1004,152.598,-26.2042,"Nick's data",2
489.373413085938,854,152.598,-26.2042,"Nick's data",2
626.556335449219,718,152.598,-26.2042,"Nick's data",2
550.177490234375,684,152.598,-26.2042,"Nick's data",2
531.265930175781,484,152.598,-26.2042,"Nick's data",2
559.987548828125,8903,152.598,-26.2042,"Nick's data",2
913.500366210938,878,152.6148,-26.0963,"Nick's data",2
894.115661621094,894,152.6148,-26.0963,"Nick's data",2
951.420166015625,1071,152.6148,-26.0963,"Nick's data",2
949.297424316406,808,152.6148,-26.0963,"Nick's data",2
798.898376464844,1320,152.6458,-26.2787,"Nick's data",2
708.374755859375,1258,152.6458,-26.2787,"Nick's data",2
639.546875,912,152.6458,-26.2787,"Nick's data",2
672.315795898438,1237,152.6458,-26.2787,"Nick's data",2
611.972351074219,1198,152.6458,-26.2787,"Nick's data",2
581.470397949219,922,152.6458,-26.2787,"Nick's data",2
661.77392578125,821,152.6547,-31.7729,"Nick's data",2
708.556701660156,1475,152.6547,-31.7729,"Nick's data",2
692.357849121094,573,152.6547,-31.7729,"Nick's data",2
635.361389160156,351,152.6547,-31.7729,"Nick's data",2
404.85546875,677,152.6547,-31.7729,"Nick's data",2
727.495849609375,1556,152.6547,-31.7729,"Nick's data",2
571.302978515625,696,152.6955,-27.4765,"Nick's data",2
540.311767578125,1143,152.6955,-27.4765,"Nick's data",2
682.62890625,909,152.6955,-27.4765,"Nick's data",2
569.097290039062,813,152.6955,-27.4765,"Nick's data",2
743.440612792969,1328,152.6955,-27.4765,"Nick's data",2
601.3447265625,853,152.6955,-27.4765,"Nick's data",2
565.927734375,1557,152.6955,-27.4765,"Nick's data",2
321.180389404297,517,152.7691,-27.846,"Nick's data",2
206.293472290039,264,152.7691,-27.846,"Nick's data",2
402.524627685547,887,152.7691,-27.846,"Nick's data",2
410.255889892578,701,152.7691,-27.846,"Nick's data",2
380.423309326172,490,152.7691,-27.846,"Nick's data",2
409.713104248047,1033,152.7691,-27.846,"Nick's data",2
388.665466308594,1119,152.7691,-27.846,"Nick's data",2
1006.01501464844,1210,152.7758,-26.2033,"Nick's data",2
846.41162109375,1205,152.7758,-26.2033,"Nick's data",2
1033.60815429688,1131,152.7758,-26.2033,"Nick's data",2
1075.25708007812,1111,152.7758,-26.2033,"Nick's data",2
971.936340332031,1135,152.7758,-26.2033,"Nick's data",2
1532.916015625,1815,152.9378,-26.9095,"Nick's data",2
1241.28857421875,2140,152.9378,-26.9095,"Nick's data",2
1350.78247070312,1998,152.9378,-26.9095,"Nick's data",2
1372.66125488281,1788,152.9378,-26.9095,"Nick's data",2
1474.45959472656,2189,152.9378,-26.9095,"Nick's data",2
1421.70727539062,2444,152.9378,-26.9095,"Nick's data",2
693.744995117188,635,152.9513,-26.7107,"Nick's data",2
632.992980957031,643,152.9513,-26.7107,"Nick's data",2
476.3701171875,510,152.9513,-26.7107,"Nick's data",2
506.949676513672,611,152.9513,-26.7107,"Nick's data",2
610.745056152344,290,152.9513,-26.7107,"Nick's data",2
581.633544921875,685,152.9513,-26.7107,"Nick's data",2
589.52685546875,522,152.9513,-26.7107,"Nick's data",2
1466.95336914062,1470,153.025,-30.0063,"Nick's data",2
1527.68176269531,1559,153.025,-30.0063,"Nick's data",2
1631.57189941406,1530,153.025,-30.0063,"Nick's data",2
1151.15588378906,875,153.4487,-28.5527,"Nick's data",2
1005.19299316406,701,153.4487,-28.5527,"Nick's data",2
1048.62976074219,917,153.4487,-28.5527,"Nick's data",2
897.159423828125,717,153.4487,-28.5527,"Nick's data",2
1082.2062,1286.01739534643,150.647585569756,-26.9653509333369,"Martino's data",4
975.24414,2022.0689358199,147.522301743204,-35.1693053892176,"Martino's data",4
523.81555,400.91131939739,116.855990233794,-32.9577847269834,"Martino's data",4
211.89519,489.355080150068,117.553744074125,-33.0090901517827,"Martino's data",4
294.21753,918.209234558046,146.964455087883,-35.263892172039,"Martino's data",4
229.771,0,144.611711486202,-37.7453060693438,"Martino's data",5
516.3868,1429.41433097422,152.592822770345,-26.2227537920643,"Martino's data",2
2000.0076,2244.93123152852,149.698083089905,-33.85013609581,"Martino's data",6
9619.92,14285.6252181232,151.899035162062,-31.1417807289378,"Martino's data",5
432.19092,1273.88086160645,147.513138031289,-33.0692357372968,"Martino's data",4
1393.7037,2796.6889519915,147.960219168901,-21.1505734780797,"Martino's data",1
1431.1619,2095.55663518235,147.145742107599,-33.7889380410377,"Martino's data",4
681.21313,864.367615163326,145.640756274583,-17.3645663073971,"Martino's data",2
4307.906,4307.20926779509,147.080831619805,-36.5259628431852,"Martino's data",6
1397.3862,2178.01613628119,150.408220620271,-26.6661794771631,"Martino's data",4
454.8124,584.350408181548,151.339525281301,-30.7355209420293,"Martino's data",5
492.2578,981.233083050698,150.473358142388,-34.5672163256746,"Martino's data",5
547.30646,443.869457346853,119.154993605835,-33.0766315876192,"Martino's data",4
1194.9093,2227.242084153,148.299807690469,-25.1090922911175,"Martino's data",4
169.79175,161.289059258066,148.266534088716,-41.3053898693395,"Martino's data",5
246.36319,756.722096370533,138.422763579055,-35.5091044367002,"Martino's data",5
689.0403,997.78822972998,117.689685048016,-33.5061217272679,"Martino's data",4
3039.6304,1896.0258513689,148.006285917405,-21.5070516418079,"Martino's data",1
360.76865,842.791690016165,144.376794904216,-36.7606434289984,"Martino's data",5
642.97675,653.514004951343,144.040592648468,-36.911578195523,"Martino's data",5
1412.724,877.18993363902,152.485709315731,-25.5502714570695,"Martino's data",1
1204.0525,1715.48341417313,145.816194301857,-20.0913062543939,"Martino's data",1
192.19073,447.049572136253,145.678154097071,-38.4098480128331,"Martino's data",5
5292.926,4600.5586518757,117.441504498174,-33.5912364412194,"Martino's data",4
1223.1238,2134.94809871353,149.953046481999,-31.1170329287819,"Martino's data",4
1587.9414,2028.43399530649,152.624035232711,-28.0646938378071,"Martino's data",5
1840.0707,2365.29856286105,149.77392974894,-29.9182311197952,"Martino's data",4
1261.9164,2548.58366425335,146.97770034612,-35.5703424980322,"Martino's data",4
189.06084,803.669693198055,144.877193077212,-36.380109041088,"Martino's data",5
1124.7756,670.558725161478,152.81695070912,-26.2166799589571,"Martino's data",2
4840.2866,11933.278312102,145.813512627188,-35.485102526609,"Martino's data",4
1209.8274,973.292566947639,152.986746787538,-30.7695550047339,"Martino's data",2
1070.0615,761.296524509788,116.804339919454,-32.6435964235345,"Martino's data",4
719.2935,1236.82559866458,152.728830740777,-25.4663545729941,"Martino's data",1
621.579,466.835621041246,146.019756195728,-36.9920014182571,"Martino's data",5
5111.42,9450.88589318097,149.003054281298,-33.2483065188805,"Martino's data",5
78.168564,65.1736491592601,138.295097103288,-35.6076267630405,"Martino's data",5
391.6911,379.901258228347,146.613502117584,-19.673026184138,"Martino's data",1
558.9679,1108.24489802029,143.523394836458,-38.3648288867918,"Martino's data",5
633.15924,1107.44341032952,116.587326606044,-33.0171102351693,"Martino's data",4
341.48645,0,142.536352211849,-37.8217336862889,"Martino's data",5
6770.4365,3683.11369002424,149.291911364203,-21.3464347700002,"Martino's data",1
378.81366,1021.37902993336,144.763709296458,-37.581636125331,"Martino's data",5
643.8981,488.109019642696,116.928014450565,-33.9678881667917,"Martino's data",5
1497.2129,1930.63443927094,151.910683270445,-28.6880921972459,"Martino's data",5
739.1129,1078.50495376624,146.742491342377,-38.1775266843516,"Martino's data",5
1719.7819,839.986601430923,147.105724313859,-33.2956366951959,"Martino's data",4
535.1638,165.762371299788,145.68818374259,-37.1714484058362,"Martino's data",5
1191.9252,1058.55889450386,147.095170780816,-38.3039951380798,"Martino's data",5
88.68838,66.5710712736472,116.820420327956,-33.0288221481006,"Martino's data",4
2451.5571,2947.69871390937,146.186509214196,-37.0131853476079,"Martino's data",6
1412.4518,1422.82375986502,144.379588470284,-36.8201675548037,"Martino's data",5
2049.6445,2655.76697630808,143.42612551589,-36.6527959456199,"Martino's data",5
231.56506,113.984738667496,143.551037555284,-38.4275496667142,"Martino's data",5
1583.6438,1290.98258825392,146.958987673949,-33.5677409335292,"Martino's data",4
2135.5034,829.570017653517,151.467952173195,-32.7025229074967,"Martino's data",5
452.3344,749.378871954978,153.222676766239,-28.9750262295304,"Martino's data",2
1146.7551,1114.28809022717,150.218492037072,-33.7497153244952,"Martino's data",5
2284.5266,5632.19731354713,144.018808279282,-38.2580979246324,"Martino's data",5
702.14746,1175.18674337305,118.838974185824,-33.000163205462,"Martino's data",4
393.71857,348.55847459659,144.935345137047,-37.3041935753225,"Martino's data",5
577.85974,1028.16199479811,149.02300768406,-32.9565031120614,"Martino's data",5
54.91375,147.642300382257,144.622127063619,-37.6310523562502,"Martino's data",5
263.4574,259.01603884995,117.745378683132,-33.3014497848567,"Martino's data",4
1544.9425,2971.29591263086,147.245108983048,-26.4944635919667,"Martino's data",4
1882.5319,2557.91904115397,148.579924397258,-32.1324539713614,"Martino's data",4
731.7492,1361.3799659498,151.705966907153,-30.5784632119427,"Martino's data",5
287.8565,146.124272212386,147.176429283422,-43.4191102405141,"Martino's data",6
1986.2103,1686.74485200737,147.632095271245,-20.8608317306639,"Martino's data",1
953.6461,1495.56729957461,150.52659492441,-27.2194204691377,"Martino's data",4
258.9945,226.88984388113,141.915513188066,-37.328807180052,"Martino's data",5
1032.4602,304.155137479305,146.792764287099,-33.9192001595568,"Martino's data",4
2289.1843,2446.74336792156,151.792922970116,-30.6578526003554,"Martino's data",5
937.60156,1341.0512859188,143.306410034104,-37.4612438693271,"Martino's data",6
206.37541,425.505316220224,152.027379088019,-24.9806566491631,"Martino's data",1
357.76422,0,116.604043880712,-32.4322870343404,"Martino's data",4
972.2667,606.503653094172,139.16211149132,-34.4436869491997,"Martino's data",5
383.80414,1003.97954810783,116.761016290044,-33.071526756249,"Martino's data",4
