NAME,AdjCoef,AdjCoef.LCI,AdjCoef.UCI,ObsCount.2021,FinYear,Date,SumArea_kha,SumArea_kha_LCI,SumArea_kha_UCI,EF,EF_LCI,EF_UCI,TotCH4_ktyear,TotCH4_ktyear_LCI,TotCH4_ktyear_UCI,Temp,Count,Count.AdjCoef,Count.AdjCoef.LCI,Count.AdjCoef.UCI,SumArea.kha.AdjCoef,SumArea.kha_LCI.AdjCoef,SumArea.kha_UCI.AdjCoef,TotCH4.ktyear.AdjCoef,TotCH4.ktyear_LCI.AdjCoef,TotCH4.ktyear_UCI.AdjCoef
Australian Capital Territory,1.7570809098360658,1.668464955737705,1.8419416647540983,2143.63871,1999,1999-01-01,0.1742042875,0.095812358125,0.252596216875,0.31161758,0.102162376,0.9848974,0.0545235443115234,0.0098101644515991,0.2504013061523437,22.239174,1220,2143.63871,2035.527246,2247.168831,0.3060910279778436,0.15985956185815325,0.46526749622132474,0.09580227884637858,0.016367915597516897,0.46122459871084853
Australian Capital Territory,1.7570809098360658,1.668464955737705,1.8419416647540983,2143.63871,1999,1999-02-01,0.1912908499999999,0.1052099674999999,0.2773717324999999,0.26521835,0.09424933,0.7733432,0.0509951095581054,0.0099418468475341,0.2161383361816406,19.437916,1220,2143.63871,2035.527246,2247.168831,0.3361135007613142,0.1755391437680527,0.5109025507167783,0.0896025334995457,0.01658762306042202,0.39811420676359205
Australian Capital Territory,1.7570809098360658,1.668464955737705,1.8419416647540983,2143.63871,1999,1999-03-01,0.145510325,0.08003067875,0.21098997125,0.2402137,0.08969835,0.6665542,0.03507568359375,0.0071912593841552,0.1413672180175781,17.745094,1220,2143.63871,2035.527246,2247.168831,0.2556734142415416,0.13352838287827723,0.38863121889064434,0.06163081404202821,0.011998364270082862,0.2603901688969534
Australian Capital Territory,1.7570809098360658,1.668464955737705,1.8419416647540983,2143.63871,1999,1999-04-01,0.193475975,0.10641178625,0.28054016375,0.17053623,0.075578965,0.39869434,0.033097068786621,0.0080550575256347,0.1123669204711914,12.03362,1220,2143.63871,2035.527246,2247.168831,0.3399529421844199,0.17754433623557636,0.5167386162480624,0.058154227736502875,0.013439581197972766,0.20697331255599766
Australian Capital Territory,1.7570809098360658,1.668464955737705,1.8419416647540983,2143.63871,1999,1999-05-01,0.2067775,0.113727625,0.299827375,0.15152995,0.07124532,0.33390194,0.0314171733856201,0.008113501548767,0.1005143661499023,10.11687,1220,2143.63871,2035.527246,2247.168831,0.3633247978336271,0.1897505568117793,0.5522645342463514,0.055202515596882794,0.013537093002441332,0.18514159891785403
Australian Capital Territory,1.7570809098360658,1.668464955737705,1.8419416647540983,2143.63871,1999,1999-06-01,0.205122425,0.11281733375,0.2974275162499999,0.12062408,0.063563965,0.23716949,0.024861623764038,0.0071884679794311,0.071045799255371,6.483401,1220,2143.63871,2035.527246,2247.168831,0.36041669714678015,0.18823176776163963,0.5478441344252014,0.043683884503317845,0.011993706909123419,0.13086221775422352
Australian Capital Territory,1.7570809098360658,1.668464955737705,1.8419416647540983,2143.63871,2000,1999-07-01,0.171397675,0.0942687212499999,0.24852662875,0.12127551,0.06373663,0.23907939,0.020860122680664,0.0060191011428833,0.0597319679260253,6.56919,1220,2143.63871,2035.527246,2247.168831,0.3011595827327863,0.15728405782783111,0.45777155229549876,0.03665292333903305,0.010042659321941554,0.11002280044070145
Australian Capital Territory,1.7570809098360658,1.668464955737705,1.8419416647540983,2143.63871,2000,1999-08-01,0.195290925,0.10741000875,0.28317184125,0.12806161,0.06549576,0.25942278,0.0250818672180175,0.007045199394226,0.0737783126831054,7.428245,1220,2143.63871,2035.527246,2247.168831,0.3431419561817269,0.17920983549485525,0.5215860126835082,0.04407087007182158,0.011754668295450589,0.13589534808626758
Australian Capital Territory,1.7570809098360658,1.668464955737705,1.8419416647540983,2143.63871,2000,1999-09-01,0.1888414249999999,0.1038627837499999,0.27382006625,0.16062364,0.073351085,0.36441946,0.0304124927520751,0.007628586769104,0.1001774597167968,11.0592575,1220,2143.63871,2035.527246,2247.168831,0.331809662853739,0.1732914148922384,0.5043605886716025,0.05343721043519887,0.012728029686054347,0.1845210369215933
Australian Capital Territory,1.7570809098360658,1.668464955737705,1.8419416647540983,2143.63871,2000,1999-10-01,0.191503025,0.10532666375,0.27767938625,0.18712121,0.07916917,0.4582416,0.0359158859252929,0.0083481979370117,0.1276753845214844,13.559176,1220,2143.63871,2035.527246,2247.168831,0.33648630940335883,0.17573384737164388,0.5114692309772213,0.063107117519182,0.013928675701465826,0.23517061031362257
Australian Capital Territory,1.7570809098360658,1.668464955737705,1.8419416647540983,2143.63871,2000,1999-11-01,0.2491219499999999,0.1370170725,0.3612268274999999,0.18518125,0.07875489,0.4511816,0.0463431434631347,0.0108156509399414,0.1640816192626953,13.38498,1220,2143.63871,2035.527246,2247.168831,0.4377274225661347,0.22860818380402242,0.6653587439991913,0.08142865268086805,0.018045534566783795,0.3022287709402771
Australian Capital Territory,1.7570809098360658,1.668464955737705,1.8419416647540983,2143.63871,2000,1999-12-01,0.21813405,0.1199737275,0.3162943725,0.23572367,0.08885397,0.64799815,0.0515937423706054,0.0106784343719482,0.2059884185791015,17.423084,1220,2143.63871,2035.527246,2247.168831,0.38327917504022585,0.200171959942975,0.5825957830350028,0.09065437978639092,0.01781659353174054,0.37941865063765423
Australian Capital Territory,1.7570809098360658,1.668464955737705,1.8419416647540983,2143.63871,2000,2000-01-01,0.2067216375,0.113696900625,0.299746374375,0.2368026,0.08905622,0.65247124,0.0491748161315917,0.0101487007141113,0.1968946228027343,17.500021,1220,2143.63871,2035.527246,2247.168831,0.36322664290130136,0.18969929426880486,0.5521153358202927,0.0864041306695184,0.016932751487764925,0.36266840930639865
Australian Capital Territory,1.7570809098360658,1.668464955737705,1.8419416647540983,2143.63871,2000,2000-02-01,0.2371047999999999,0.13040764,0.3438019599999999,0.29364362,0.099173345,0.90089613,0.0699090881347656,0.0129598674774169,0.311597412109375,21.201555,1220,2143.63871,2035.527246,2247.168831,0.4166123177104982,0.21758057730045854,0.6332631545481218,0.12283592418564364,0.021623084717074907,0.573944255993811
Australian Capital Territory,1.7570809098360658,1.668464955737705,1.8419416647540983,2143.63871,2000,2000-03-01,0.22285705,0.1225713775,0.3231427225,0.25729176,0.09283113,0.738912,0.0576304931640625,0.0114076948165893,0.2405704803466797,18.917309,1220,2143.63871,2035.527246,2247.168831,0.3915778681773816,0.20450604793524702,0.5952100442348216,0.1012614393630121,0.019033339027229913,0.44311679106045626
Australian Capital Territory,1.7570809098360658,1.668464955737705,1.8419416647540983,2143.63871,2000,2000-04-01,0.200447875,0.11024633125,0.29064941875,0.18249804,0.07818377,0.44138563,0.036697998046875,0.008633394241333,0.1288942260742187,13.145472,1220,2143.63871,2035.527246,2247.168831,0.352203134579706,0.1839421401892756,0.535359274232186,0.06448135179736529,0.01440451574073182,0.23741564535233747
Australian Capital Territory,1.7570809098360658,1.668464955737705,1.8419416647540983,2143.63871,2000,2000-05-01,0.1927278875,0.106000338125,0.279455436875,0.14033335,0.06856027,0.29761586,0.0271376857757568,0.0072797875404357,0.0835899047851562,8.882232,1220,2143.63871,2035.527246,2247.168831,0.3386384919192829,0.17685784945790986,0.5147406126221213,0.04768310961371202,0.012146070396432946,0.15396772837660716
