"","FinYear","ecd","State"
"126","2001",0.909983633387889,"South Australia"
"127","2002",0.919803600654664,"South Australia"
"128","2003",0.943535188216039,"South Australia"
"129","2004",0.953355155482815,"South Australia"
"130","2005",0.963993453355156,"South Australia"
"131","2006",0.96481178396072,"South Australia"
"132","2007",0.971358428805237,"South Australia"
"133","2008",0.978723404255319,"South Australia"
"134","2009",0.985270049099836,"South Australia"
"135","2010",0.98936170212766,"South Australia"
"136","2011",0.995090016366612,"South Australia"
"137","2012",0.995908346972177,"South Australia"
"138","2013",0.999181669394435,"South Australia"
"139","2014",NA,"South Australia"
"140","2015",1,"South Australia"
"141","1988",0.587009803921569,"Tasmania"
"142","1989",0.616421568627451,"Tasmania"
"143","1990",0.644607843137255,"Tasmania"
"144","1991",0.676470588235294,"Tasmania"
"145","1992",0.714460784313726,"Tasmania"
"146","1993",0.731617647058823,"Tasmania"
"147","1994",0.75,"Tasmania"
"148","1995",0.770833333333333,"Tasmania"
"149","1996",0.784313725490196,"Tasmania"
"150","1997",0.802696078431373,"Tasmania"
"151","1998",0.825980392156863,"Tasmania"
"152","1999",0.839460784313726,"Tasmania"
"153","2000",0.857843137254902,"Tasmania"
"154","2001",0.872549019607843,"Tasmania"
"155","2002",0.895833333333333,"Tasmania"
"156","2003",0.920343137254902,"Tasmania"
"157","2004",0.939950980392157,"Tasmania"
"158","2005",0.952205882352941,"Tasmania"
"159","2006",0.957107843137255,"Tasmania"
"160","2007",0.965686274509804,"Tasmania"
"161","2008",0.970588235294118,"Tasmania"
"162","2009",0.980392156862745,"Tasmania"
"163","2010",0.986519607843137,"Tasmania"
"164","2011",0.991421568627451,"Tasmania"
"165","2012",0.997549019607843,"Tasmania"
"166","2013",1,"Tasmania"
"167","2014",NA,"Tasmania"
"168","2015",NA,"Tasmania"
"169","1988",0.673127753303965,"Victoria"
"170","1989",0.718061674008811,"Victoria"
"171","1990",0.751541850220264,"Victoria"
"172","1991",0.772687224669603,"Victoria"
"173","1992",0.797356828193833,"Victoria"
"174","1993",0.80352422907489,"Victoria"
"175","1994",0.808810572687225,"Victoria"
"176","1995",0.822907488986784,"Victoria"
"177","1996",0.843171806167401,"Victoria"
"178","1997",0.859030837004405,"Victoria"
"179","1998",0.874008810572687,"Victoria"
"180","1999",0.898678414096916,"Victoria"
"181","2000",0.922466960352423,"Victoria"
"182","2001",0.941850220264317,"Victoria"
"183","2002",0.950660792951542,"Victoria"
"184","2003",0.960352422907489,"Victoria"
"185","2004",0.970925110132159,"Victoria"
"186","2005",0.975330396475771,"Victoria"
"187","2006",0.979735682819383,"Victoria"
"188","2007",0.986784140969163,"Victoria"
"189","2008",0.992070484581498,"Victoria"
"190","2009",0.995594713656388,"Victoria"
"191","2010",0.997356828193833,"Victoria"
"192","2011",0.999118942731278,"Victoria"
"193","2012",NA,"Victoria"
"194","2013",1,"Victoria"
"195","2014",NA,"Victoria"
"196","2015",NA,"Victoria"
"197","1988",0.568438003220612,"Western Australia"
"198","1989",0.642512077294686,"Western Australia"
"199","1990",0.689210950080515,"Western Australia"
"200","1991",0.70048309178744,"Western Australia"
"201","1992",0.706924315619968,"Western Australia"
"202","1993",0.714975845410628,"Western Australia"
"203","1994",0.72463768115942,"Western Australia"
"204","1995",0.743961352657005,"Western Australia"
"205","1996",0.758454106280193,"Western Australia"
"206","1997",0.782608695652174,"Western Australia"
"207","1998",0.814814814814815,"Western Australia"
"208","1999",0.855072463768116,"Western Australia"
"209","2000",0.871175523349436,"Western Australia"
"210","2001",0.880837359098229,"Western Australia"
"211","2002",0.896940418679549,"Western Australia"
"212","2003",0.919484702093398,"Western Australia"
"213","2004",0.932367149758454,"Western Australia"
"214","2005",0.946859903381642,"Western Australia"
"215","2006",0.954911433172303,"Western Australia"
"216","2007",0.964573268921095,"Western Australia"
"217","2008",0.977455716586151,"Western Australia"
"218","2009",0.982286634460548,"Western Australia"
"219","2010",0.985507246376812,"Western Australia"
"220","2011",0.987117552334944,"Western Australia"
"221","2012",0.995169082125604,"Western Australia"
"222","2013",0.996779388083736,"Western Australia"
"223","2014",1,"Western Australia"
"224","2015",NA,"Western Australia"
