"Ref","Latitude","Longitude","CH4_mgm2day.mean","Water_Temp_C","Temp.annual","CH4_mgm2day.EbuAdj","CH4_mgm2day.EbuAdj.LCI","CH4_mgm2day.EbuAdj.UCI","Water_Temp_K","Boltzmann_15C","CH4_mgm2day.EbuAdj.15C","Loc"
"ANU.Fieldwork",-33.515984,148.563043,13.9882581800889,18.5333333333333,18.3973693847656,54.4531657633168,70.8541667513024,42.7824652341913,291.683333333333,0.487844578836075,44.1767635177935,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-33.507176,148.592199,1.81455880744611,14.7333333333333,18.2666969299316,6.99924770575833,9.08309912258884,5.51282528280433,287.883333333333,-0.0373044547623564,7.1120841330119,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-33.524183,148.565278,0.605021999552154,19.4333333333333,18.4820976257324,2.36928621801053,3.088341366623,1.85843639071199,292.583333333333,0.610224007872809,1.82390873088609,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-34.839408,149.448307,3.81481317399692,14.2,13.6548805236816,10.8640110007042,13.3751766937979,9.0124387556117,287.35,-0.112121080060938,11.3989654130792,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-34.853581,149.429012,22.5796351049927,15.3,13.6542377471924,64.3008515435589,79.1635617724852,53.3420795592709,288.45,0.0418850654647756,63.156544809706,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-34.838597,149.427647,7.91502817523566,14.4333333333333,13.7056655883789,22.6111684428495,27.8414564831778,18.7537261811045,287.583333333333,-0.0793546609741682,23.3936310293752,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-34.833823,149.427701,1.40653279125571,14.1666666666667,13.6777868270874,4.01122518642094,4.93870156207773,3.32728542614543,287.316666666667,-0.116806341563858,4.2172039748224,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-35.858386,146.919951,0.885314291052324,17.2333333333333,17.2967529296875,3.19333235019571,4.07051356110212,2.55772060214906,290.383333333333,0.3097350467513,2.79625109687995,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-35.863042,146.922873,1.52635423417899,18.3666666666667,17.2011661529541,5.46978158944222,6.96130312432569,4.38758064505305,291.516666666667,0.465098797654015,4.4810074435185,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-35.862688,146.926331,9.35774564933959,20.9333333333333,17.2011661529541,33.5340406081899,42.6782345583312,26.8993021233085,294.083333333333,0.812525168501104,23.6704253341351,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-35.860923,146.917756,0.363376449359689,14.5333333333333,17.4308567047119,1.32278281855904,1.68997125249556,1.05722854276791,287.683333333333,-0.0653281810116937,1.36035312509662,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-35.863696,146.918592,5.48143847058335,15.6333333333333,17.4308567047119,19.9538320181533,25.4927732766732,15.9480153893806,288.783333333333,0.08832196207576,19.2124215089135,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-35.854769,147.281937,1.32950426081423,14.2666666666667,15.9726181030273,4.38783389249919,5.48968434012283,3.57781562179664,287.416666666667,-0.102753817312447,4.58544380833996,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-35.862569,147.251834,2.08695343486092,16.5333333333333,16.4781093597412,7.12259099338656,8.96761398281966,5.77230391016621,289.683333333333,0.213167776358304,6.50053961869299,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-35.870717,147.269082,15.3232991516213,15.9,16.0723075866699,50.9059621704933,63.7634103965561,41.4612636396156,289.05,0.125394365680499,48.2416471007994,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-35.88015,147.2725,1.03705044144884,15.4666666666667,16.5675449371338,3.5606029035179,4.4884190356646,2.88220747262994,288.616666666667,0.065116921663261,3.46257956448007,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-34.226976,148.339146,1.73901152126207,14.5666666666667,16.9403457641602,6.12246072858542,7.75989833194189,4.93033990151013,287.716666666667,-0.0606548544027206,6.28375174946377,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-34.232995,148.353655,9.4793297854686,14.3,16.9585304260254,33.4145548007618,42.3630135902829,26.9011916405215,287.45,-0.0980718153107389,34.8493882662626,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-34.235121,148.342077,17.4447851872653,14.4,16.8900508880615,61.2085691968211,77.5193443046619,49.3263140569532,287.55,-0.0840323222626864,63.4538192982044,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-34.230387,148.349255,1.99811770734486,14.0333333333333,16.9585304260254,7.04334748779361,8.92956459020915,5.6704164304952,287.183333333333,-0.135558263929809,7.46479699117783,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-34.230918,148.342736,2.21328189153427,15.0666666666667,16.9403457641602,7.79220338481339,9.87620970203202,6.27496246557455,288.216666666667,0.0093153276919864,7.76114696447851,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-34.225599,148.343111,3.63558531489057,14.0333333333333,17.1906490325928,13.0190060511171,16.5662417764471,10.4448749263514,287.183333333333,-0.135558263929802,13.7980182529584,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-34.304549,148.211291,3.08995537142813,14.6333333333333,16.2347774505615,10.3762497126398,13.0228000606713,8.43485775213954,287.783333333333,-0.0513114489938431,10.6070307029809,"Temperate (Australia; N = 165)"
"ANU.Fieldwork",-34.298828,148.208492,137.203873739021,16.8333333333333,16.2347774505615,460.738581735432,578.253858219006,374.534586723261,289.983333333333,0.25461083676548,413.094979750725,"Temperate (Australia; N = 165)"
